analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement
A3.6,variable specification,"Sophistication of Theory/Conceptualization, significant results vs. nonsignificant results",table,"#Sophistication of Theory/Conceptualization TOSTtwo(m1=equiv_array[3,5], m2=equiv_array[4,5], sd1=equiv_array[3,6], sd2=equiv_array[4,6], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:245, 247",1,Two-sided equivalence test comparing ratings of sophistication of theory between significant-results vs. nonsignificant-results conditions.,"“On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”[...]“Significant results (M = 6.06, SD = 2.20) vs.0.38 [-0.27, 1.03]±1.11-1.854124.80.033 nonsignificant results (M = 5.68, SD = 2.25)”",,"mean(datafile$r_sophistication[datafile$c_significance==1]), 
  mean(datafile$r_sophistication[datafile$c_significance==2]), 
  sd(datafile$r_sophistication[datafile$c_significance==1]), 
  sd(datafile$r_sophistication[datafile$c_significance==2]),[...]TOSTtwo(m1=equiv_array[3,5], m2=equiv_array[4,5], sd1=equiv_array[3,6], sd2=equiv_array[4,6], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.6,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,Two-sided equivalence test comparing ratings of sophistication of theory between significant-results vs. nonsignificant-results conditions.,"On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.",,"#Descriptives: Sophistication of Theory/Conceptualization
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    sophistication_m = mean(r_sophistication, na.rm = TRUE),
    sophistication_sd = sd(r_sophistication, na.rm = TRUE),
    sophistication_med = median(r_sophistication, na.rm = TRUE),
    sophistication_min = min(r_sophistication, na.rm = TRUE),
    sophistication_max = max(r_sophistication, na.rm = TRUE)
  )
[...]
#Sophistication of Theory/Conceptualization
TOSTtwo(m1=equiv_array[1,5], m2=equiv_array[2,5], sd1=equiv_array[1,6], sd2=equiv_array[2,6], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,5], m2=equiv_array[4,5], sd1=equiv_array[3,6], sd2=equiv_array[4,6], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.6,inference criteria,"""and α = .05 (see Table 5)""",text,"TOSTtwo(m1=equiv_array[3,5], m2=equiv_array[4,5], sd1=equiv_array[3,6], sd2=equiv_array[4,6], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:247,1,Two-sided equivalence test comparing ratings of sophistication of theory between significant-results vs. nonsignificant-results conditions.,"Given the number of tests, there was an inflated probability of false positives for a default criterion of Cronbach's α = .05. Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen's d = -0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power) and α = .05 (see Table 5).[...]Values in brackets are 90% confidence intervals. The upper and lower bounds for the equivalence test are the raw-score values corresponding to Cohen's d = ±0.50.[...]Significant results (M = 6.06, SD = 2.20) vs.0.38 [-0.27, 1.03]±1.11-1.854124.80.033 nonsignificant results (M = 5.68, SD = 2.25)",,"#Sophistication of Theory/Conceptualization
TOSTtwo(m1=equiv_array[1,5], m2=equiv_array[2,5], sd1=equiv_array[1,6], sd2=equiv_array[2,6], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,5], m2=equiv_array[4,5], sd1=equiv_array[3,6], sd2=equiv_array[4,6], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.7,model specification,"""Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen’s d = −0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power)""",text,"TOSTtwo(m1=equiv_array[1,7], m2=equiv_array[2,7], sd1=equiv_array[1,8], sd2=equiv_array[2,8], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:250,1,,,,,,
A3.7,variable specification,"Appropriateness of Methods/Research Design, original study vs. replication",table,#Appropriateness of Methods/Research Design,"pilot_paper/elson_2020/analysis_code.R:249, 250",1,,,,,,
A3.7,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.7,variable specification,"Appropriateness of Methods/Research Design, original study vs. replication",table,#Appropriateness of Methods/Research Design,"pilot_paper/elson_2020/analysis_code.R:249, 250",1,,,,,,
A3.7,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.7,variable specification,"Appropriateness of Methods/Research Design, original study vs. replication",table,#Appropriateness of Methods/Research Design,"pilot_paper/elson_2020/analysis_code.R:249, 250",1,,,,,,
A3.7,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.7,inference criteria,"""and α = .05 (see Table 5)""",text,"TOSTtwo(m1=equiv_array[1,7], m2=equiv_array[2,7], sd1=equiv_array[1,8], sd2=equiv_array[2,8], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:250,,,,,,,
A3.8,model specification,"""Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen’s d = −0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power)""",text,"TOSTtwo(m1=equiv_array[3,7], m2=equiv_array[4,7], sd1=equiv_array[3,8], sd2=equiv_array[4,8], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:251,1,Two-sided equivalence test comparing ratings of appropriateness of methods and design between significant-results vs. nonsignificant-results conditions.,"Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen's d = -0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power) and α = .05 (see Table 5).",,"TOSTtwo(m1=equiv_array[3,7], m2=equiv_array[4,7], sd1=equiv_array[3,8], sd2=equiv_array[4,8], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.8,variable specification,"Appropriateness of Methods/Research Design, significant results vs. nonsignificant results",table,"#Appropriateness of Methods/Research Design
 TOSTtwo(m1=equiv_array[3,7], m2=equiv_array[4,7], sd1=equiv_array[3,8], sd2=equiv_array[4,8], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:249, 251",1,Two-sided equivalence test comparing ratings of appropriateness of methods and design between significant-results vs. nonsignificant-results conditions.,"Dependent variablesThe dependent variables relevant to our preregistered hypotheses were five evaluation criteria, overall recommendation, and a total score.[...]Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]Appropriateness of methods and designOriginal study (M = 5.93, SD = 2.45) vs.-1.29 [-1.99, -0.60]±1.18-0.278122.85.609replication (M = 7.23, SD = 2.25)Significant results (M = 6.87, SD = 2.31) vs.0.56 [-0.16, 1.27]±1.21-1.523123.39.065nonsignificant results (M = 6.32, SD = 2.54)",,"#Appropriateness of Methods/Research Design
TOSTtwo(m1=equiv_array[1,7], m2=equiv_array[2,7], sd1=equiv_array[1,8], sd2=equiv_array[2,8], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,7], m2=equiv_array[4,7], sd1=equiv_array[3,8], sd2=equiv_array[4,8], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)[...]mean(datafile$r_methods[datafile$c_original==1]), 
  mean(datafile$r_methods[datafile$c_original==2]), 
  mean(datafile$r_methods[datafile$c_significance==1]), 
  mean(datafile$r_methods[datafile$c_significance==2]), 
  sd(datafile$r_methods[datafile$c_original==1]), 
  sd(datafile$r_methods[datafile$c_original==2]), 
  sd(datafile$r_methods[datafile$c_significance==1]), 
  sd(datafile$r_methods[datafile$c_significance==2]),[...]n_sig=length(datafile$c_significance[datafile$c_significance==1])
n_nonsig=length(datafile$c_significance[datafile$c_significance==2])",,1
A3.8,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,Two-sided equivalence test comparing ratings of appropriateness of methods and design between significant-results vs. nonsignificant-results conditions.,"On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]The upper and lower bounds for the equivalence test are the raw-score values corresponding to Cohen's d = ±0.50.",,"#Descriptives: Appropriateness of Methods/Research Design
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    methods_m = mean(r_methods, na.rm = TRUE),
    methods_sd = sd(r_methods, na.rm = TRUE),
    methods_med = median(r_methods, na.rm = TRUE),
    methods_min = min(r_methods, na.rm = TRUE),
    methods_max = max(r_methods, na.rm = TRUE)
  )
[...]
#Appropriateness of Methods/Research Design
TOSTtwo(m1=equiv_array[1,7], m2=equiv_array[2,7], sd1=equiv_array[1,8], sd2=equiv_array[2,8], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,7], m2=equiv_array[4,7], sd1=equiv_array[3,8], sd2=equiv_array[4,8], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.8,inference criteria,"""and α = .05 (see Table 5)""",text,"TOSTtwo(m1=equiv_array[3,7], m2=equiv_array[4,7], sd1=equiv_array[3,8], sd2=equiv_array[4,8], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:251,1,Two-sided equivalence test comparing ratings of appropriateness of methods and design between significant-results vs. nonsignificant-results conditions.,"Given the number of tests, there was an inflated probability of false positives for a default criterion of Cronbach's α = .05. Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen's d = -0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power) and α = .05 (see Table 5).[...]Values in brackets are 90% confidence intervals. The upper and lower bounds for the equivalence test are the raw-score values corresponding to Cohen's d = ±0.50.",,"#####################
# EQUIVALENCE TESTS #
#####################
[...]
#Appropriateness of Methods/Research Design
TOSTtwo(m1=equiv_array[1,7], m2=equiv_array[2,7], sd1=equiv_array[1,8], sd2=equiv_array[2,8], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,7], m2=equiv_array[4,7], sd1=equiv_array[3,8], sd2=equiv_array[4,8], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.9,model specification,"""Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen’s d = −0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power)""",text,"TOSTtwo(m1=equiv_array[1,9], m2=equiv_array[2,9], sd1=equiv_array[1,10], sd2=equiv_array[2,10], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:254,1,Two-sided equivalence test comparing ratings of the presentation and discussion of results between original vs. replication conditions.,"“Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen's d = -0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power) and α = .05 (see Table 5).”[...]“Table 5 .5Summary of the Equivalence Tests for All Main Effects on the Dependent Variables”",,"#Quality of Presentation and Discussion of Results
TOSTtwo(m1=equiv_array[1,9], m2=equiv_array[2,9], sd1=equiv_array[1,10], sd2=equiv_array[2,10], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.9,variable specification,"Quality of Presentation and Discussion of Results, original study vs. replication",table,"#Quality of Presentation and Discussion of Results TOSTtwo(m1=equiv_array[1,9], m2=equiv_array[2,9], sd1=equiv_array[1,10], sd2=equiv_array[2,10], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:253, 254",1,Two-sided equivalence test comparing ratings of the presentation and discussion of results between original vs. replication conditions.,"On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]Presentation and discussion of results Original study (M = 6.35, SD = 2.00) vs.-0.38 [-0.97, 0.20]±1.001.732124.63.043 replication (M = 6.74, SD = 1.99)",,"mean(datafile$r_presentation[datafile$c_original==1]), 
  mean(datafile$r_presentation[datafile$c_original==2]), 
  mean(datafile$r_presentation[datafile$c_significance==1]), 
  mean(datafile$r_presentation[datafile$c_significance==2]), 
  sd(datafile$r_presentation[datafile$c_original==1]), 
  sd(datafile$r_presentation[datafile$c_original==2]), 
  sd(datafile$r_presentation[datafile$c_significance==1]), 
  sd(datafile$r_presentation[datafile$c_significance==2]),[...]
n_orig=length(datafile$c_original[datafile$c_original==1])
n_rep=length(datafile$c_original[datafile$c_original==2])[...]
#Quality of Presentation and Discussion of Results
TOSTtwo(m1=equiv_array[1,9], m2=equiv_array[2,9], sd1=equiv_array[1,10], sd2=equiv_array[2,10], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.9,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,Two-sided equivalence test comparing ratings of the presentation and discussion of results between original vs. replication conditions.,"“On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”",,"#Descriptives: Quality of Presentation and Discussion of Results
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    presentation_m = mean(r_presentation, na.rm = TRUE),
    presentation_sd = sd(r_presentation, na.rm = TRUE),
    presentation_med = median(r_presentation, na.rm = TRUE),
    presentation_min = min(r_presentation, na.rm = TRUE),
    presentation_max = max(r_presentation, na.rm = TRUE)
  )
...
a_presentation <- aov(
  r_presentation ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_presentation)
...
#Quality of Presentation and Discussion of Results
TOSTtwo(m1=equiv_array[1,9], m2=equiv_array[2,9], sd1=equiv_array[1,10], sd2=equiv_array[2,10], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,9], m2=equiv_array[4,9], sd1=equiv_array[3,10], sd2=equiv_array[4,10], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.9,variable specification,"Quality of Presentation and Discussion of Results, original study vs. replication",table,"#Quality of Presentation and Discussion of Results TOSTtwo(m1=equiv_array[1,9], m2=equiv_array[2,9], sd1=equiv_array[1,10], sd2=equiv_array[2,10], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:253, 254",1,Two-sided equivalence test comparing ratings of the presentation and discussion of results between original vs. replication conditions.,"On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]Presentation and discussion of results Original study (M = 6.35, SD = 2.00) vs.-0.38 [-0.97, 0.20]±1.001.732124.63.043 replication (M = 6.74, SD = 1.99)",,"mean(datafile$r_presentation[datafile$c_original==1]), 
  mean(datafile$r_presentation[datafile$c_original==2]), 
  mean(datafile$r_presentation[datafile$c_significance==1]), 
  mean(datafile$r_presentation[datafile$c_significance==2]), 
  sd(datafile$r_presentation[datafile$c_original==1]), 
  sd(datafile$r_presentation[datafile$c_original==2]), 
  sd(datafile$r_presentation[datafile$c_significance==1]), 
  sd(datafile$r_presentation[datafile$c_significance==2]),[...]
n_orig=length(datafile$c_original[datafile$c_original==1])
n_rep=length(datafile$c_original[datafile$c_original==2])[...]
#Quality of Presentation and Discussion of Results
TOSTtwo(m1=equiv_array[1,9], m2=equiv_array[2,9], sd1=equiv_array[1,10], sd2=equiv_array[2,10], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.9,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,Two-sided equivalence test comparing ratings of the presentation and discussion of results between original vs. replication conditions.,"“On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”",,"#Descriptives: Quality of Presentation and Discussion of Results
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    presentation_m = mean(r_presentation, na.rm = TRUE),
    presentation_sd = sd(r_presentation, na.rm = TRUE),
    presentation_med = median(r_presentation, na.rm = TRUE),
    presentation_min = min(r_presentation, na.rm = TRUE),
    presentation_max = max(r_presentation, na.rm = TRUE)
  )
...
a_presentation <- aov(
  r_presentation ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_presentation)
...
#Quality of Presentation and Discussion of Results
TOSTtwo(m1=equiv_array[1,9], m2=equiv_array[2,9], sd1=equiv_array[1,10], sd2=equiv_array[2,10], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,9], m2=equiv_array[4,9], sd1=equiv_array[3,10], sd2=equiv_array[4,10], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.9,variable specification,"Quality of Presentation and Discussion of Results, original study vs. replication",table,"#Quality of Presentation and Discussion of Results TOSTtwo(m1=equiv_array[1,9], m2=equiv_array[2,9], sd1=equiv_array[1,10], sd2=equiv_array[2,10], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:253, 254",1,Two-sided equivalence test comparing ratings of the presentation and discussion of results between original vs. replication conditions.,"On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]Presentation and discussion of results Original study (M = 6.35, SD = 2.00) vs.-0.38 [-0.97, 0.20]±1.001.732124.63.043 replication (M = 6.74, SD = 1.99)",,"mean(datafile$r_presentation[datafile$c_original==1]), 
  mean(datafile$r_presentation[datafile$c_original==2]), 
  mean(datafile$r_presentation[datafile$c_significance==1]), 
  mean(datafile$r_presentation[datafile$c_significance==2]), 
  sd(datafile$r_presentation[datafile$c_original==1]), 
  sd(datafile$r_presentation[datafile$c_original==2]), 
  sd(datafile$r_presentation[datafile$c_significance==1]), 
  sd(datafile$r_presentation[datafile$c_significance==2]),[...]
n_orig=length(datafile$c_original[datafile$c_original==1])
n_rep=length(datafile$c_original[datafile$c_original==2])[...]
#Quality of Presentation and Discussion of Results
TOSTtwo(m1=equiv_array[1,9], m2=equiv_array[2,9], sd1=equiv_array[1,10], sd2=equiv_array[2,10], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.9,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,Two-sided equivalence test comparing ratings of the presentation and discussion of results between original vs. replication conditions.,"“On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”",,"#Descriptives: Quality of Presentation and Discussion of Results
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    presentation_m = mean(r_presentation, na.rm = TRUE),
    presentation_sd = sd(r_presentation, na.rm = TRUE),
    presentation_med = median(r_presentation, na.rm = TRUE),
    presentation_min = min(r_presentation, na.rm = TRUE),
    presentation_max = max(r_presentation, na.rm = TRUE)
  )
...
a_presentation <- aov(
  r_presentation ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_presentation)
...
#Quality of Presentation and Discussion of Results
TOSTtwo(m1=equiv_array[1,9], m2=equiv_array[2,9], sd1=equiv_array[1,10], sd2=equiv_array[2,10], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,9], m2=equiv_array[4,9], sd1=equiv_array[3,10], sd2=equiv_array[4,10], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.9,inference criteria,"""and α = .05 (see Table 5)""",text,"TOSTtwo(m1=equiv_array[1,9], m2=equiv_array[2,9], sd1=equiv_array[1,10], sd2=equiv_array[2,10], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:254,1,Two-sided equivalence test comparing ratings of the presentation and discussion of results between original vs. replication conditions.,"“Given the number of tests, there was an inflated probability of false positives for a default criterion of Cronbach's α = .05. Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen's d = -0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power) and α = .05 (see Table 5).”[...]“Values in brackets are 90% confidence intervals. The upper and lower bounds for the equivalence test are the raw-score values corresponding to Cohen's d = ±0.50.”",,"#Quality of Presentation and Discussion of Results
TOSTtwo(m1=equiv_array[1,9], m2=equiv_array[2,9], sd1=equiv_array[1,10], sd2=equiv_array[2,10], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.10,model specification,"""Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen’s d = −0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power)""",text,"TOSTtwo(m1=equiv_array[3,9], m2=equiv_array[4,9], sd1=equiv_array[3,10], sd2=equiv_array[4,10], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:255,1,,,,,,
A3.10,variable specification,"Quality of Presentation and Discussion of Results, significant results vs. nonsignificant results",table,"#Quality of Presentation and Discussion of Results TOSTtwo(m1=equiv_array[3,9], m2=equiv_array[4,9], sd1=equiv_array[3,10], sd2=equiv_array[4,10], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:253, 255",1,,,,,,
A3.10,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.10,variable specification,"Quality of Presentation and Discussion of Results, significant results vs. nonsignificant results",table,"#Quality of Presentation and Discussion of Results TOSTtwo(m1=equiv_array[3,9], m2=equiv_array[4,9], sd1=equiv_array[3,10], sd2=equiv_array[4,10], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:253, 255",1,,,,,,
A3.10,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.10,variable specification,"Quality of Presentation and Discussion of Results, significant results vs. nonsignificant results",table,"#Quality of Presentation and Discussion of Results TOSTtwo(m1=equiv_array[3,9], m2=equiv_array[4,9], sd1=equiv_array[3,10], sd2=equiv_array[4,10], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:253, 255",1,,,,,,
A3.10,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.10,inference criteria,"""and α = .05 (see Table 5)""",text,"TOSTtwo(m1=equiv_array[3,9], m2=equiv_array[4,9], sd1=equiv_array[3,10], sd2=equiv_array[4,10], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:255,1,,,,,,
A3.11,model specification,"""Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen’s d = −0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power)""",text,"TOSTtwo(m1=equiv_array[1,11], m2=equiv_array[2,11], sd1=equiv_array[1,12], sd2=equiv_array[2,12], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:258,1,,,,,,
A3.11,variable specification,"Overall Recommendation, original study vs. replication
",table,"#Overall Recommendation TOSTtwo(m1=equiv_array[1,11], m2=equiv_array[2,11], sd1=equiv_array[1,12], sd2=equiv_array[2,12], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)

","pilot_paper/elson_2020/analysis_code.R:257, 258",1,,,,,,
A3.11,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.11,variable specification,"Overall Recommendation, original study vs. replication
",table,"#Overall Recommendation TOSTtwo(m1=equiv_array[1,11], m2=equiv_array[2,11], sd1=equiv_array[1,12], sd2=equiv_array[2,12], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)

","pilot_paper/elson_2020/analysis_code.R:257, 258",1,,,,,,
A3.11,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.11,variable specification,"Overall Recommendation, original study vs. replication
",table,"#Overall Recommendation TOSTtwo(m1=equiv_array[1,11], m2=equiv_array[2,11], sd1=equiv_array[1,12], sd2=equiv_array[2,12], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)

","pilot_paper/elson_2020/analysis_code.R:257, 258",1,,,,,,
A3.11,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.11,inference criteria,"""and α = .05 (see Table 5)""",text,"TOSTtwo(m1=equiv_array[1,11], m2=equiv_array[2,11], sd1=equiv_array[1,12], sd2=equiv_array[2,12], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:258,1,,,,,,
