analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement
A14,inference criteria,"Secondly, the anchor needs to correlate with the Time 2 scores, which was also the case for both positive (r = .45„ CI 95%[.40, .50]) and negative affect (r = .48„ CI 95%[.42, .52]).",text,"cor.test(data$PANAS_NA_D2mean, data$AnchorNA)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":606",1,"Correlation between negative affect anchor responses and Time 2 negative affect PANAS mean scores, across the full sample.","“Secondly, the anchor needs to correlate with the Time 2 scores, which was also the case for both positive (r = .45"" CI 95%[.40, .50]) and negative affect (r = .48"" CI 95%[.42, .52]). Importantly, however, to show that the anchor-responses reflect change in the construct more than present state, the anchor's correlation with the change scores should be stronger than its correlation with Time 2 scores. This was the case for positive affect (rdif = .09, CI 95%[.03, .15]) but not for negative affect (rdif = -.02"" CI 95%[-.08, 0.04]; Zou, 2007). Critically, the anchor-responses should not reflect the present state more than they reflect change in the construct, and indeed the results show that this was not the case. Hence, the current results are not quite ideal because the anchor item ratings are not more strongly related to change scores than Time 2 for negative affect. At the same time the anchor item ratings are not more strongly related to Time 2 scores than to change scores which would be a major problem.”",,"#### correlation analyses with NA anchor ####
cor.test(data$NA_change, data$AnchorNA)
cor.test(data$PANAS_NA_D2mean, data$AnchorNA)
cor.test(data$PANAS_NA_D1mean, data$AnchorNA)

cocor(~NA_change + AnchorNA | PANAS_NA_D2mean + AnchorNA, data=data)
# anchor corr with change score < anchor corr with T2
[...]
## the anchor position doesn't have a moderating effect on the correlations
## the correlations replicate the relationships found in the original study I did with Daniel,
# except that for NA the anchor correlation with T2 was not statistically significantly 
# differetn from anchor correlation with change in NA. descriptively the correlation
# with T2 was a bit stronger.",,1
A15,model specification,"Importantly, however, to show that the anchor-responses reflect change in the construct more than present state, the anchor’s correlation with the change scores should be stronger than its correlation with Time 2 scores. This was the case for positive affect (rdif = .09, CI 95%[.03, .15]) but not for negative affect (rdif = -.02„ CI 95%[-.08, 0.04]; Zou, 2007).",text,"cocor(~PA_change + AnchorPA | PANAS_PA_D2mean + AnchorPA, data=data)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":590",1,,,,,,
A15,variable specification,"Importantly, however, to show that the anchor-responses reflect change in the construct more than present state, the anchor’s correlation with the change scores should be stronger than its correlation with Time 2 scores. This was the case for positive affect (rdif = .09, CI 95%[.03, .15]) but not for negative affect (rdif = -.02„ CI 95%[-.08, 0.04]; Zou, 2007).",text,"cocor(~PA_change + AnchorPA | PANAS_PA_D2mean + AnchorPA, data=data)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":590",1,,,,,,
A15,transformation ,,,,,,,,,,,
A15,variable specification,"Importantly, however, to show that the anchor-responses reflect change in the construct more than present state, the anchor’s correlation with the change scores should be stronger than its correlation with Time 2 scores. This was the case for positive affect (rdif = .09, CI 95%[.03, .15]) but not for negative affect (rdif = -.02„ CI 95%[-.08, 0.04]; Zou, 2007).",text,"data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)

data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE) [...] data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean [...] cocor(~PA_change + AnchorPA | PANAS_PA_D2mean + AnchorPA, data=data)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":60-66; 77; 590",1,,,,,,
A15,transformation ,"For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect. To calculate each participant’s change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect. The anchor items for positive and",text,"data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)

data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE) [...] data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":60-66; 77",1,,,,,,
A15,variable specification,"Importantly, however, to show that the anchor-responses reflect change in the construct more than present state, the anchor’s correlation with the change scores should be stronger than its correlation with Time 2 scores. This was the case for positive affect (rdif = .09, CI 95%[.03, .15]) but not for negative affect (rdif = -.02„ CI 95%[-.08, 0.04]; Zou, 2007).",text,"data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE) [...] cocor(~PA_change + AnchorPA | PANAS_PA_D2mean + AnchorPA, data=data)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":64-66; 590",1,,,,,,
A15,transformation ,"For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect. ",text,"data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":64-66",1,,,,,,
A15,inference criteria,"This was the case for positive affect (rdif = .09, CI 95%[.03, .15]) […] Zou, 2007)",text,"cocor(~PA_change + AnchorPA | PANAS_PA_D2mean + AnchorPA, data=data)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":590",1,,,,,,
A16,model specification,"Importantly, however, to show that the anchor-responses reflect change in the construct more than present state, the anchor’s correlation with the change scores should be stronger than its correlation with Time 2 scores. This was the case for positive affect (rdif = .09, CI 95%[.03, .15]) but not for negative affect (rdif = -.02„ CI 95%[-.08, 0.04]; Zou, 2007).",text,"cocor(~NA_change + AnchorNA | PANAS_NA_D2mean + AnchorNA, data=data)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":609",1,,,,,,
A16,variable specification,"Importantly, however, to show that the anchor-responses reflect change in the construct more than present state, the anchor’s correlation with the change scores should be stronger than its correlation with Time 2 scores. This was the case for positive affect (rdif = .09, CI 95%[.03, .15]) but not for negative affect (rdif = -.02„ CI 95%[-.08, 0.04]; Zou, 2007).",text,"cocor(~NA_change + AnchorNA | PANAS_NA_D2mean + AnchorNA, data=data)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":609",1,,,,,,
A16,transformation ,,,,,,,,,,,
A16,variable specification,"Importantly, however, to show that the anchor-responses reflect change in the construct more than present state, the anchor’s correlation with the change scores should be stronger than its correlation with Time 2 scores. This was the case for positive affect (rdif = .09, CI 95%[.03, .15]) but not for negative affect (rdif = -.02„ CI 95%[-.08, 0.04]; Zou, 2007).",text,"data$PANAS_NA_D1mean = rowMeans(data[ , c('PANASD1_11_Distressed', 'PANASD1_12_Upset', 
  'PANASD1_13_Hostile', 'PANASD1_14_Irritable', 'PANASD1_15_Scared', 'PANASD1_16_Afraid', 
  'PANASD1_17_Ashamed', 'PANASD1_18_Guilty', 'PANASD1_19_Nervous', 'PANASD1_20_Jittery')], na.rm=TRUE)

data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE) [...] data$NA_change = data$PANAS_NA_D2mean - data$PANAS_NA_D1mean","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":68-74; 78",1,,,,,,
A16,transformation ,"For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect. To calculate each participant’s change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect. The anchor items for positive and",text,"data$PANAS_NA_D1mean = rowMeans(data[ , c('PANASD1_11_Distressed', 'PANASD1_12_Upset', 
  'PANASD1_13_Hostile', 'PANASD1_14_Irritable', 'PANASD1_15_Scared', 'PANASD1_16_Afraid', 
  'PANASD1_17_Ashamed', 'PANASD1_18_Guilty', 'PANASD1_19_Nervous', 'PANASD1_20_Jittery')], na.rm=TRUE)

data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":68-74; 78",1,,,,,,
A16,variable specification,"Importantly, however, to show that the anchor-responses reflect change in the construct more than present state, the anchor’s correlation with the change scores should be stronger than its correlation with Time 2 scores. This was the case for positive affect (rdif = .09, CI 95%[.03, .15]) but not for negative affect (rdif = -.02„ CI 95%[-.08, 0.04]; Zou, 2007).",text,"data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE) [...9 cocor(~NA_change + AnchorNA | PANAS_NA_D2mean + AnchorNA, data=data)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":72-74; 609",1,,,,,,
A16,transformation ,"For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect. ",text,"data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE) ","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":72-74",1,,,,,,
A16,inference criteria," but not for negative affect (rdif = -.02„ CI 95%[-.08, 0.04]; Zou, 2007).",text,"cocor(~NA_change + AnchorNA | PANAS_NA_D2mean + AnchorNA, data=data)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":609",1,,,,,,
A17,model specification,"the anchor should correlate with Time 1 scores just as strongly, in absolute terms, as with Time 2 scores.",text,"cor.test(data$PANAS_PA_D1mean, data$AnchorPA)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":588",1,"Correlation between positive affect anchor responses and Time 1 positive affect PANAS mean scores, across the full sample.","“Thirdly, though rarely achieved in practice (Devji et al., 2020), the anchor should correlate with Time 1 scores just as strongly, in absolute terms, as with Time 2 scores.[...]In the present study, much like the results reported by Anvari and Lakens (2021), the anchor's correlations with Time 1 scores were much weaker for both positive affect (r = .01"" CI 95%[-.05, .08])”",,"#### correlation analyses with PA anchor ####
cor.test(data$PA_change, data$AnchorPA)
cor.test(data$PANAS_PA_D2mean, data$AnchorPA)
cor.test(data$PANAS_PA_D1mean, data$AnchorPA)",,1
A17,variable specification,"the anchor should correlate with Time 1 scores just as strongly, in absolute terms, as with Time 2 scores.",text,"cor.test(data$PANAS_PA_D1mean, data$AnchorPA)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":588",1,"Correlation between positive affect anchor responses and Time 1 positive affect PANAS mean scores, across the full sample.","“the method's validity is demonstrated by the strength of the correlation between the anchor-item and: (i) the change scores on the outcome measure (e.g., PANAS difference between Time 1 and Time 2), with a positive correlation showing that the anchor-responses capture changes in the construct; (ii) the Time 2 scores on the outcome measure (e.g., PANAS at Time 2), with a positive correlation showing that the anchor-responses reflect how people currently feel; and (iii) the Time 1 scores on the outcome measure (e.g., PANAS at Time 1), with a negative correlation showing that the anchor-responses also reflect people's feelings at the time against which current feelings are being compared”[...]“Thirdly, though rarely achieved in practice (Devji et al., 2020), the anchor should correlate with Time 1 scores just as strongly, in absolute terms, as with Time 2 scores.”[...]“In the present study, much like the results reported by Anvari and Lakens (2021), the anchor's correlations with Time 1 scores were much weaker for both positive affect (r = .01"" CI 95%[-.05, .08]) and negative affect (r = .09"" CI 95% [.02, .15]).”[...]“Ten items measured positive affect (attentive, interested, alert, excited, enthusiastic, inspired, proud, determined, strong, and active) and ten items measured negative affect (distressed, upset, hostile, irritable, scared, afraid, ashamed, guilty, nervous, jittery). For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.”[...]“The anchor items for positive and negative affect included in the survey at Time 2 asked participants, ""Overall, compared to the time when you did this survey yesterday, how positive/negative do you feel right now?"".”",,"data$AnchorPA <- paste(data$PA.Anchor.Before, data$PA.Anchor.After)[...]data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested',  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired',  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)[...]cor.test(data$PANAS_PA_D1mean, data$AnchorPA)",,1
A17,transformation ,,,,,,"Correlation between positive affect anchor responses and Time 1 positive affect PANAS mean scores, across the full sample.","“Ten items measured positive affect (attentive, interested, alert, excited, enthusiastic, inspired, proud, determined, strong, and active) and ten items measured negative affect (distressed, upset, hostile, irritable, scared, afraid, ashamed, guilty, nervous, jittery).” [...] “For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.” [...] “I excluded participants for (i) having missing responses on any measures or (ii) giving the same response to all items across the three measures in either the first or second survey. [...] The final dataset for this paper consisted of 903 participants who completed the PANAS on both Time 1 and Time 2.”",,"data$AnchorPA <- paste(data$PA.Anchor.Before, data$PA.Anchor.After)
data$AnchorNA <- paste(data$NA.Anchor.Before, data$NA.Anchor.After)
[...] 
data[data == "" Much less positive""] <- 1
[data == ""Much less positive ""] <- 1
[data == "" A little less positive""] <- 2
[data == ""A little less positive ""] <- 2
[data == "" A little more positive""] <- 4
[data == ""A little more positive ""] <- 4
[data == "" Much more positive""] <- 5
[data == ""Much more positive ""] <- 5
[data == "" The same""] <- 3
[data == ""The same ""] <- 3
[...] 
#### mean of D1/T1 and D2/T2 scores for PA and NA ####

data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)
[...] 
#### correlation analyses with PA anchor ####
cor.test(data$PANAS_PA_D1mean, data$AnchorPA)",,1
A17,variable specification,"the anchor should correlate with Time 1 scores just as strongly, in absolute terms, as with Time 2 scores.",text,"data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE) [...] cor.test(data$PANAS_PA_D1mean, data$AnchorPA)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":60-62; 588",1,"Correlation between positive affect anchor responses and Time 1 positive affect PANAS mean scores, across the full sample.","“the method's validity is demonstrated by the strength of the correlation between the anchor-item and: (i) the change scores on the outcome measure (e.g., PANAS difference between Time 1 and Time 2), with a positive correlation showing that the anchor-responses capture changes in the construct; (ii) the Time 2 scores on the outcome measure (e.g., PANAS at Time 2), with a positive correlation showing that the anchor-responses reflect how people currently feel; and (iii) the Time 1 scores on the outcome measure (e.g., PANAS at Time 1), with a negative correlation showing that the anchor-responses also reflect people's feelings at the time against which current feelings are being compared”[...]“Thirdly, though rarely achieved in practice (Devji et al., 2020), the anchor should correlate with Time 1 scores just as strongly, in absolute terms, as with Time 2 scores.”[...]“In the present study, much like the results reported by Anvari and Lakens (2021), the anchor's correlations with Time 1 scores were much weaker for both positive affect (r = .01"" CI 95%[-.05, .08]) and negative affect (r = .09"" CI 95% [.02, .15]).”[...]“Ten items measured positive affect (attentive, interested, alert, excited, enthusiastic, inspired, proud, determined, strong, and active) and ten items measured negative affect (distressed, upset, hostile, irritable, scared, afraid, ashamed, guilty, nervous, jittery). For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.”[...]“The anchor items for positive and negative affect included in the survey at Time 2 asked participants, ""Overall, compared to the time when you did this survey yesterday, how positive/negative do you feel right now?"".”",,"data$AnchorPA <- paste(data$PA.Anchor.Before, data$PA.Anchor.After)[...]data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested',  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired',  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)[...]cor.test(data$PANAS_PA_D1mean, data$AnchorPA)",,1
A17,transformation ,"For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect. ",text,"data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":60-62",,"Correlation between positive affect anchor responses and Time 1 positive affect PANAS mean scores, across the full sample.","“Ten items measured positive affect (attentive, interested, alert, excited, enthusiastic, inspired, proud, determined, strong, and active) and ten items measured negative affect (distressed, upset, hostile, irritable, scared, afraid, ashamed, guilty, nervous, jittery).” [...] “For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.” [...] “I excluded participants for (i) having missing responses on any measures or (ii) giving the same response to all items across the three measures in either the first or second survey. [...] The final dataset for this paper consisted of 903 participants who completed the PANAS on both Time 1 and Time 2.”",,"data$AnchorPA <- paste(data$PA.Anchor.Before, data$PA.Anchor.After)
data$AnchorNA <- paste(data$NA.Anchor.Before, data$NA.Anchor.After)
[...] 
data[data == "" Much less positive""] <- 1
[data == ""Much less positive ""] <- 1
[data == "" A little less positive""] <- 2
[data == ""A little less positive ""] <- 2
[data == "" A little more positive""] <- 4
[data == ""A little more positive ""] <- 4
[data == "" Much more positive""] <- 5
[data == ""Much more positive ""] <- 5
[data == "" The same""] <- 3
[data == ""The same ""] <- 3
[...] 
#### mean of D1/T1 and D2/T2 scores for PA and NA ####

data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)
[...] 
#### correlation analyses with PA anchor ####
cor.test(data$PANAS_PA_D1mean, data$AnchorPA)",,1
A17,inference criteria,"the anchor’s correlations with Time 1 scores were much weaker for both positive affect (r = .01„ CI 95%[-.05, .08]) and negative affect (r = .09„ CI 95%[.02, .15]).",text,"cor.test(data$PANAS_PA_D1mean, data$AnchorPA)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":588",,"Correlation between positive affect anchor responses and Time 1 positive affect PANAS mean scores, across the full sample.","“Thirdly, though rarely achieved in practice (Devji et al., 2020), the anchor should correlate with Time 1 scores just as strongly, in absolute terms, as with Time 2 scores. In the present study, much like the results reported by Anvari and Lakens (2021), the anchor's correlations with Time 1 scores were much weaker for both positive affect (r = .01"" CI 95%[-.05, .08]) and negative affect (r = .09"" CI 95% [.02, .15]). Hence, people's anchor-responses reflected their current state much more than their past Time 1 state.”",,"#### correlation analyses with PA anchor ####
cor.test(data$PA_change, data$AnchorPA)
cor.test(data$PANAS_PA_D2mean, data$AnchorPA)
cor.test(data$PANAS_PA_D1mean, data$AnchorPA)

cocor(~PA_change + AnchorPA | PANAS_PA_D2mean + AnchorPA, data=data)
# anchor corr with change score > anchor corr with T2

cocor(~PA_change + AnchorPA | PANAS_PA_D1mean + AnchorPA, data=data)
# anchor corr with change score > anchor corr with T1

cocor(~PANAS_PA_D2mean + AnchorPA | PANAS_PA_D1mean + AnchorPA, data=data)
# anchor corr with T2 > anchor corr with T1",,1
A18,model specification,"the anchor should correlate with Time 1 scores just as strongly, in absolute terms, as with Time 2 scores.",text,"cor.test(data$PANAS_NA_D1mean, data$AnchorNA)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":607",1,"Correlation between negative affect anchor responses and Time 1 negative affect PANAS mean scores, across the full sample.","""Thirdly, though rarely achieved in practice (Devji et al., 2020), the anchor should correlate with Time 1 scores just as strongly, in absolute terms, as with Time 2 scores. In the present study, much like the results reported by Anvari and Lakens (2021), the anchor's correlations with Time 1 scores were much weaker for both positive affect (r = .01"" CI 95%[-.05, .08]) and negative affect (r = .09"" CI 95% [.02, .15]).""[...]""An important consideration for interpreting the above pairwise correlations is that the Time 1 and Time 2 ratings are relatively strongly correlated (rPA = .66, rNA = .63, ps < .001).""",,"#### correlation analyses with NA anchor ####
cor.test(data$NA_change, data$AnchorNA)
cor.test(data$PANAS_NA_D2mean, data$AnchorNA)
cor.test(data$PANAS_NA_D1mean, data$AnchorNA)

cocor(~NA_change + AnchorNA | PANAS_NA_D2mean + AnchorNA, data=data)",,1
A18,variable specification,"the anchor’s correlations with Time 1 scores were much weaker for both positive affect (r = .01„ CI 95%[-.05, .08]) and negative affect (r = .09„ CI 95%[.02, .15]).",text,"cor.test(data$PANAS_NA_D1mean, data$AnchorNA)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":607",1,"Correlation between negative affect anchor responses and Time 1 negative affect PANAS mean scores, across the full sample.","""The anchor items for positive and negative affect included in the survey at Time 2 asked participants, \""Overall, compared to the time when you did this survey yesterday, how positive/negative do you feel right now?\""."" [...] ""Ten items measured negative affect (distressed, upset, hostile, irritable, scared, afraid, ashamed, guilty, nervous, jittery). For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect."" [...] ""In the present study, much like the results reported by Anvari and Lakens (2021), the anchor's correlations with Time 1 scores were much weaker for both positive affect (r = .01\"" CI 95%[-.05, .08]) and negative affect (r = .09\"" CI 95% [.02, .15]).""",,"data$AnchorNA <- paste(data$NA.Anchor.Before, data$NA.Anchor.After)
[...] data$PANAS_NA_D1mean = rowMeans(data[ , c('PANASD1_11_Distressed', 'PANASD1_12_Upset', 
  'PANASD1_13_Hostile', 'PANASD1_14_Irritable', 'PANASD1_15_Scared', 'PANASD1_16_Afraid', 
  'PANASD1_17_Ashamed', 'PANASD1_18_Guilty', 'PANASD1_19_Nervous', 'PANASD1_20_Jittery')], na.rm=TRUE)
[...] cor.test(data$PANAS_NA_D1mean, data$AnchorNA)",,1
A18,transformation ,,,,,,"Correlation between negative affect anchor responses and Time 1 negative affect PANAS mean scores, across the full sample.","“Ten items measured negative affect (distressed, upset, hostile, irritable, scared, afraid, ashamed, guilty, nervous, jittery)... For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.”",,"data$PANAS_NA_D1mean = rowMeans(data[ , c('PANASD1_11_Distressed', 'PANASD1_12_Upset', 
  'PANASD1_13_Hostile', 'PANASD1_14_Irritable', 'PANASD1_15_Scared', 'PANASD1_16_Afraid', 
  'PANASD1_17_Ashamed', 'PANASD1_18_Guilty', 'PANASD1_19_Nervous', 'PANASD1_20_Jittery')], na.rm=TRUE)
...
cor.test(data$PANAS_NA_D1mean, data$AnchorNA)",,1
